,State,Crop,Total Cultivated area - Sown,Total Cultivated area - Harvested,Total production
3,Aguascalientes,White corn,74292.28746322,67277.37109022,274683.2928865
12,Baja California Sur,White corn,5351.2698,5147.8698,35171.0482
16,Campeche,White corn,167105.6165115,148953.0026415,408859.462636
20,Coahuila de Zaragoza,White corn,49616.524801,37750.320798,70988.0737733
28,Colima,White corn,16981.536845,16320.717689,56074.4032997
32,Chiapas,White corn,572650.95815975,543991.81537275,1165423.1637225
38,Chihuahua,White corn,151801.7446515,141981.005084,488235.5424615
41,Distrito Federal,White corn,4630.82546523,4460.83562423,8731.30338438
46,Durango,White corn,147282.2944788,142243.8700468,507384.326924
47,Durango,Forage corn,37609.693629,36616.705641,
51,Guanajuato,White corn,425211.13532518,396283.32469038,1898848.6302673
57,Guerrero,White corn,488177.2800366,421220.45356558,782732.53591078
61,Hidalgo,White corn,199301.7672275,184382.4207785,581395.32730111
65,Jalisco,White corn,473243.882328,460940.311118,3362853.706064
68,México,White corn,349893.10418186,326484.64156986,724267.4808314
74,Michoacán de Ocampo,White corn,434911.393958,401361.11424296,1800183.736607
78,Morelos,White corn,33585.98281823,32090.85208123,105563.6549713
83,Nayarit,White corn,58151.391278,57045.401974,267808.580857
87,Nuevo León,White corn,86014.573849,57667.531548,85418.6058957
95,Oaxaca,White corn,469974.44228534,426725.65271096,569450.1164154
99,Puebla,White corn,457527.96681726,429025.06981282,765811.39098344
103,Querétaro,White corn,105811.30930613,99328.98809013,399423.70987864
104,Querétaro,Forage corn,7999.761978,7898.404438,
108,Quintana Roo,White corn,80237.08063,56537.34832796,
112,San Luis Potosí,White corn,275278.439741,194233.220434,263562.3714283
117,Sinaloa,White corn,436876.082574,429593.005003,3955581.213571
119,Sonora,White corn,11361.874378,11151.799028,49901.525328
124,Tabasco,White corn,74733.25719226,61991.83260518,94235.206238
128,Tamaulipas,White corn,91333.2384465,80863.29660352,284034.6220765
133,Tlaxcala,White corn,115148.66703902,108364.58107492,209492.737494
138,Veracruz de Ignacio de la Llave,White corn,469158.18389675,451618.27340025,1033884.46179126
141,Yucatán,White corn,95295.791888,76197.91836155,83422.7822218
147,Zacatecas,White corn,293740.821206,242019.246998,650136.9709326
