,State,Crop,Total Cultivated area - Sown,Total Cultivated area - Harvested,Total production,Water Modality - Temporary - Cultivated area - Sown,Water Modality - Temporary - Cultivated area - Harvested,Water Modality - Temporary - Production,Water Modality - Irrigation - Cultivated area - Sown,Water Modality - Irrigation - Cultivated area - Harvested,Water Modality - Irrigation - Production
3,Aguascalientes,White corn,73393.422331,67484.245731,201502.371934,61353.990581,55444.813981,82382.615314,12039.43175,12039.43175,119119.75662
12,Baja California Sur,White corn,4644.99695,4582.99695,33856.84485,182.8334,173.8334,93.83345,4462.16355,4409.16355,33763.0114
18,Coahuila de Zaragoza,White corn,68820.5746625,37634.2971,,52657.8223375,24258.235475,,16162.752325,13376.061625,
24,Colima,White corn,16200.289808,16034.177048,54795.656418,13304.88757,13138.77481,43156.571618,2895.402238,2895.402238,11639.0848
30,Chiapas,White corn,519026.0480637,512396.6030637,1622396.82890485,494760.2148887,488161.1296387,1488474.65536035,24265.833175,24235.473425,133922.1735445
36,Chihuahua,Yellow corn,250020.277205,247424.592595,2339662.5106033,50425.419025,48125.734415,264885.336738,199594.85818,199298.85818,2074777.1738653
41,Ciudad de México,White corn,5238.2833179,4448.1728389,11030.4138044,5236.2833179,4446.1728389,10996.4138044,2,2,34
45,Durango,White corn,139503.011051,137311.602671,503828.301416,62508.806981,62302.706981,93598.693845,76994.20407,75008.89569,410229.607571
49,Guanajuato,White corn,467291.7109375,438044.26788928,2321067.1011117,248689.8621945,221590.46455328,387168.2006625,218601.848743,216453.803336,1933898.9004492
56,Guerrero,White corn,423698.82100309,384094.49232689,887247.84010622,391589.90498983,352491.81590463,798942.48901235,32108.91601326,31602.67642226,88305.35109387
61,Hidalgo,White corn,212000.418927,194298.2128228,544321.35910185,138775.4293075,124177.6071885,162567.49391335,73224.9896195,70120.6056343,381753.8651885
65,Jalisco,Yellow corn,71173.8847614,70219.0802074,584529.1392238,48433.5277614,47495.7232074,372549.4964838,22740.357,22723.357,211979.64274
66,Jalisco,White corn,461195.9166048,455406.0898248,3650165.5808774,360703.8072098,357187.3694118,2834831.9529099,100492.109395,98218.720413,815333.6279675
72,México,White corn,361534.1780211,344015.31098915,822701.5894884,298190.77403492,282216.05752872,624556.7778242,63343.40398618,61799.25346043,198144.8116642
76,Michoacán de Ocampo,White corn,442161.21105957,430340.93259157,1959681.86727035,267023.75668157,260453.66844857,627585.35797165,175137.454378,169887.264143,1332096.5092987
83,Morelos,White corn,28105.37981925,27163.84526383,127576.3658503,24421.5363405,23480.00178508,107641.3433385,3683.84347875,3683.84347875,19935.0225118
91,Nayarit,White corn,56267.03307096,51075.55499096,295344.9645721,36219.83694096,31148.21860096,138087.5806796,20047.19613,19927.33639,157257.3838925
98,Nuevo León,White corn,106170.4438516,57251.4250938,,83237.6986466,37908.2673888,,22932.745205,19343.157705,
104,Oaxaca,White corn,553707.23138512,392470.6625172,548229.6729965,513382.50711212,355913.0941937,411596.4885963,40324.724273,36557.5683235,136633.1844002
112,Puebla,White corn,430071.25743576,384977.15392066,823639.38816595,336078.59840966,293888.04060316,440577.99180365,93992.6590261,91089.1133175,383061.3963623
117,Querétaro,White corn,100871.6850619,92887.0404134,640268.367632,33668.9831954,28018.7480954,28339.274518,67202.7018665,64868.292318,611929.093114
120,Quintana Roo,White corn,80014.094905,75596.12212,76691.45952202,79124.860015,75135.38061,75437.42712932,889.23489,460.74151,1254.0323927
124,San Luis Potosí,White corn,273710.2133689,198012.3361177,199253.228954222,246329.6481509,172088.4049297,138168.212258222,27380.565218,25923.931188,61085.016696
132,Sinaloa,White corn,497521.9560267,485456.4694567,4632982.883745,57348.232586,46861.482096,58018.260113,440173.7234407,438594.9873607,4574964.623632
144,Tamaulipas,White corn,115063.632035,89970.60996,235997.31764,80350.667485,56020.39541,86611.29069,34712.96455,33950.21455,149386.02695
151,Tlaxcala,White corn,116209.843731872,108042.279922113,284062.23429954,110406.69999772,102239.136187961,259938.35647454,5803.143734152,5803.143734152,24123.877825
155,Veracruz de Ignacio de la Llave,White corn,482015.974759948,451067.640371551,752315.324467872,459561.178387448,428632.833999051,680472.329560372,22454.7963725,22434.8063725,71842.9949075
