,State,Crop,Total Cultivated area - Sown,Total Cultivated area - Harvested,Water Modality - Temporary - Cultivated area - Sown,Water Modality - Temporary - Cultivated area - Harvested,Water Modality - Irrigation - Cultivated area - Sown,Water Modality - Irrigation - Cultivated area - Harvested,Total production,Water Modality - Temporary - Production,Water Modality - Irrigation - Production
2,Baja California,White corn,635.8649,635.8649,0,0,635.8649,635.8649,6286.43536,0,6286.43536
5,Baja California Sur,White corn,5596.0026,5511.54,102.6676,102.6676,5493.335,5408.8724,37869.1501694,44.0004,37825.1497694
16,Chiapas,White corn,412950.84517825,395995.11166824,396831.30207825,379875.56856824,16119.5431,16119.5431,1084385.7344313,1024625.7971313,59759.9373
21,Chihuahua,Yellow corn,287635.764182,281470.829138,51017.316192,48237.309148,236618.44799,233233.51999,2481299.064627,232423.322577,2248875.74205
22,Chihuahua,White corn,43774.04167,38248.48574,33206.05267,27989.88314,10567.989,10258.6026,101107.46144,33516.17514,67591.2863
27,Durango,White corn,75580.912031,63446.4344017,34176.125614,22161.9693647,41404.786417,41284.465037,298564.1612231,27602.3817008,270961.7795223
31,Guerrero,White corn,461825.9845902,394182.23174744,421360.5581262,355092.10787344,40465.426464,39090.123874,731011.75050889,621558.7611838,109452.98932509
35,Hidalgo,White corn,242242.61131832,183654.09489715,177064.86921832,118655.22959715,65177.7421,64998.8653,601215.28238822,169105.30092782,432109.9814604
40,Jalisco,White corn,442494.4406925,437268.5609675,349235.980705,344452.31133,93258.4599875,92816.2496375,3410048.905136,2580426.755376,829622.14976
44,Estado de México,White corn,321974.21618575,305118.04994675,260516.1525899,244362.5392049,61458.06359585,60755.51074185,621496.91071286,459468.14085438,162028.76985848
47,Michoacán,White corn,450131.58963246,406395.13903246,295464.16227336,252769.86574336,154667.4273591,153625.2732891,2262398.6284801,974013.2053471,1288385.423133
57,Nayarit,White corn,61845.41780495,60488.21955495,27548.65420516,26385.25975516,34296.76359979,34102.95979979,381922.64532478,142438.734585,239483.91073978
62,Nuevo León,White corn,105647.023553,61626.935753,100448.432285,57183.967485,5198.591268,4442.968268,55973.4356245,32166.2548785,23807.180746
64,Oaxaca,White corn,427094.21942262,350508.93701764,405388.26531392,329932.21130994,21705.9541087,20576.7257077,,,
69,Puebla,White corn,344074.71440547,322530.02621707,314363.53190047,293916.09308707,29711.182505,28613.93313,696360.10044445,595701.10792125,100658.9925232
73,Querétaro,White corn,79568.837598,61770.749358,47148.406501,30165.923636,32420.431097,31604.825722,,,
82,Sinaloa,White corn,732351.149368,722893.418468,44131.69732,38586.20672,688219.452048,684307.211748,7484681.0709613,36409.379139,7448271.6918223
100,Veracruz ,White corn,384446.63359217,324958.30616041,372667.73699217,313526.5788763,11778.8966,11431.72728411,,,
111,Zacatecas,White corn,211703.872188,133763.56343,171752.428301,95245.890993,39951.443887,38517.672437,287027.6953104,89150.1933134,197877.501997
