,State,Municipality,Crop,Active agricultural production units - Total,Active agricultural production units - With open agriculture,Cultivated area - Sown,Cultivated area - Harvested,Production,Water Modality - Temporary - Production unit,Water Modality - Temporary - Cultivated area - Sown,Water Modality - Temporary - Cultivated area - Harvested,Water Modality - Temporary - Production,Water Modality - Irrigation - Production unit,Water Modality - Irrigation - Cultivated area - Sown,Water Modality - Irrigation - Cultivated area - Harvested,Water Modality - Irrigation - Production
93,01 AGS,001 Aguascalientes,Forage corn,1591,1591,13719.6093,13083.3126,339873.3523,1257,9406.1929,8855.2401,104486.6145,380,4313.4164,4228.0725,235386.7378
94,01 AGS,001 Aguascalientes,Yellow corn,29,29,233.835,230.8305,997.6648,29,233.835,230.8305,997.6648,0,0,0,0
95,01 AGS,001 Aguascalientes,White corn,802,802,6019.7733,5826.5034,22008.7552,754,5556.7985,5364.0286,18359.1613,55,462.9748,462.4748,3649.5939
122,01 AGS,002 Asientos,Forage corn,690,690,4587.2771,4320.7626,152522.1552,392,2152.3979,1961.1395,14881.8086,348,2434.8792,2359.6231,137640.3466
123,01 AGS,002 Asientos,Yellow corn,52,52,177.805,144.952,506.9692,47,157.805,125.952,363.4392,5,20,19,143.53
124,01 AGS,002 Asientos,White corn,2053,2053,9618.8066,8185.7351,13855.6288,1777,8322.2844,6922.3776,6065.2098,312,1296.5222,1263.3575,7790.419
148,01 AGS,003 Calvillo,Forage corn,262,262,972.6302,857.1883,14532.262,209,784.7755,678.2547,4719.2554,59,187.8547,178.9336,9813.0066
149,01 AGS,003 Calvillo,Yellow corn,15,15,47.44,45.44,196.4423,12,42.19,40.19,150.4148,3,5.25,5.25,46.0275
150,01 AGS,003 Calvillo,White corn,836,836,2016.9773,1797.7592,4869.0259,672,1668.2322,1449.2141,2707.3644,182,348.7451,348.5451,2161.6615
175,01 AGS,004 Cosío,Forage corn,337,337,1450.8873,1418.2261,60974.8832,154,458.1881,427.9796,3637.1987,194,992.6992,990.2465,57337.6845
176,01 AGS,004 Cosío,Yellow corn,10,10,31.75,31.7374,302.2972,3,3.29,3.29,12.0743,7,28.46,28.4474,290.2229
177,01 AGS,004 Cosío,White corn,421,421,1551.1395,1402.3324,5745.0826,216,733.1451,601.0542,746.6715,219,817.9944,801.2782,4998.4111
198,01 AGS,005 Jesús María,Forage corn,347,347,1965.3007,1856.2078,63158.2197,207,1026.7239,929.9297,9102.5794,153,938.5768,926.2781,54055.6403
199,01 AGS,005 Jesús María,Yellow corn,11,11,32.88,29.38,152.0192,7,25.7,23.7,101.097,4,7.18,5.68,50.9222
200,01 AGS,005 Jesús María,White corn,649,649,2075.3256,1889.8108,6092.0952,450,1616.8298,1435.6928,3143.8161,212,458.4958,454.118,2948.2791
224,01 AGS,006 Pabellón de Arteaga,Forage corn,525,525,4137.6417,3991.5303,188613.2108,199,939.6671,803.9485,7391.4385,371,3197.9746,3187.5818,181221.7723
225,01 AGS,006 Pabellón de Arteaga,Yellow corn,10,10,40.55,38.55,288.1506,3,14.27,12.27,20.35,7,26.28,26.28,267.8006
226,01 AGS,006 Pabellón de Arteaga,White corn,250,250,1081.8235,1001.0702,2304.0697,194,826.0055,749.2502,830.3591,75,255.818,251.82,1473.7106
252,01 AGS,007 Rincón de Romos,Forage corn,893,893,6277.7995,6052.7947,264204.8649,394,2205.501,1990.4347,15929.072,549,4072.2985,4062.36,248275.7929
253,01 AGS,007 Rincón de Romos,Yellow corn,11,11,47.75,47.3622,410.8173,5,14.95,14.5635,61.3493,7,32.8,32.7987,349.468
254,01 AGS,007 Rincón de Romos,White corn,585,585,2918.2892,2605.3616,6647.4165,421,2097.6209,1791.2653,1568.0634,185,820.6683,814.0963,5079.3531
277,01 AGS,008 San José de Gracia,Forage corn,94,94,397.6978,344.8499,6779.8071,62,294.605,243.9371,1528.7937,44,103.0928,100.9128,5251.0134
278,01 AGS,008 San José de Gracia,Yellow corn,24,24,43.687,41.737,271.7659,7,20.55,18.6,62.722,17,23.137,23.137,209.0439
279,01 AGS,008 San José de Gracia,White corn,714,714,2594.8846,2061.3519,3032.8567,591,2306.3633,1780.5711,1376.0429,171,288.5213,280.7808,1656.8138
298,01 AGS,009 Tepezalá,Forage corn,295,295,2103.1828,2076.2085,105645.6007,49,214.855,195.0534,1620.6565,254,1888.3278,1881.1551,104024.9442
299,01 AGS,009 Tepezalá,Yellow corn,6,6,23.44,18.52,69.5242,5,20.44,15.52,40.1542,1,3,3,29.37
300,01 AGS,009 Tepezalá,White corn,1114,1114,4781.1824,4150.4614,10789.8247,846,3694.8806,3076.2896,3144.2748,328,1086.3018,1074.1718,7645.5499
322,01 AGS,010 El Llano,Forage corn,323,323,3026.266,2858.1257,46142.8338,265,2537.0383,2368.898,19526.9532,74,489.2277,489.2277,26615.8806
323,01 AGS,010 El Llano,Yellow corn,21,21,277.43,268.43,881.4,20,271.47,262.47,871.1,2,5.96,5.96,10.3
