,cmdt_zone,year,average_yield,min_yield,max_yield,stdeviation_yield,coefiscient_variation_yield
0,Bougouni,1990,1725.75,1643.0,1897.0,115.6355626,6.700597571
1,Bougouni,1991,1455.8,1406.0,1544.0,56.04640934,3.849870129
2,Bougouni,1992,1741.8,1305.0,2185.0,342.2845308,19.65119593
3,Bougouni,1993,1712.744186,1537.011494,1836.0,118.3212154,6.908283001
4,Bougouni,1994,1844.191422,1709.0,1940.0,94.6879855,5.134390302
5,Bougouni,1995,1819.426017,1638.0,1989.089608,157.7775424,8.671830614
6,Bougouni,1996,1783.649353,1687.0,1849.0,55.59371608,3.116852311
7,Bougouni,1997,1904.978344,1690.89317,2262.012693,206.2575559,10.82729137
8,Bougouni,1998,1979.833333,1817.0,2195.0,165.3655547,8.352498762
9,Bougouni,1999,2111.526279,1642.10199,2778.0,385.1239351,18.23912584
10,Bougouni,2000,1792.5,1524.0,2011.0,235.2392399,13.12352803
11,Bougouni,2001,1983.0,1783.0,2200.0,169.5122414,8.548272388
12,Bougouni,2002,1612.166667,1124.0,2047.0,345.2636191,21.41612441
13,Bougouni,2003,1946.833333,1637.0,2208.0,207.8801738,10.67786185
14,Bougouni,2004,1878.0,1737.0,2090.0,130.7302566,6.961142526
15,Bougouni,2005,2176.0,1835.0,2659.0,349.9411379,16.08185376
16,Bougouni,2006,2135.833333,1730.0,2758.0,366.7006499,17.16897308
17,Bougouni,2007,2086.833333,1974.0,2362.0,144.4706429,6.922960287
18,Bougouni,2008,1837.5,1660.0,2066.0,165.358701,8.99911298
19,Bougouni,2009,2135.666667,2033.0,2384.0,141.7584801,6.637668802
20,Bougouni,2010,2181.666667,2011.0,2298.0,110.2554609,5.053726246
21,Bougouni,2011,2057.333333,1918.0,2354.0,172.0275172,8.361674523
22,Bougouni,2012,2170.333333,2047.0,2366.0,127.971351,5.896391536
23,Bougouni,2013,2236.666667,2136.0,2395.0,94.90767444,4.243264133
24,Bougouni,2014,2507.166667,2280.0,2791.0,163.0968015,6.505223753
25,Bougouni,2015,2512.5,2320.0,2784.0,180.0985841,7.16810285
26,Bougouni,2016,2476.666667,2295.0,2585.0,108.5977286,4.384834266
27,Bougouni,2017,2343.605845,2220.0,2454.0,83.29587199,3.554175808
28,Bougouni,1990,1725.75,1643.0,1897.0,115.6355626,6.700597571
29,Bougouni,1991,1455.8,1406.0,1544.0,56.04640934,3.849870129
30,Bougouni,1992,1741.8,1305.0,2185.0,342.2845308,19.65119593
31,Bougouni,1993,1712.744186,1537.011494,1836.0,118.3212154,6.908283001
32,Bougouni,1994,1844.191422,1709.0,1940.0,94.6879855,5.134390302
33,Bougouni,1995,1819.426017,1638.0,1989.089608,157.7775424,8.671830614
34,Bougouni,1996,1783.649353,1687.0,1849.0,55.59371608,3.116852311
35,Bougouni,1997,1904.978344,1690.89317,2262.012693,206.2575559,10.82729137
36,Bougouni,1998,1979.833333,1817.0,2195.0,165.3655547,8.352498762
37,Bougouni,1999,2111.526279,1642.10199,2778.0,385.1239351,18.23912584
38,Bougouni,2000,1792.5,1524.0,2011.0,235.2392399,13.12352803
39,Bougouni,2001,1983.0,1783.0,2200.0,169.5122414,8.548272388
40,Bougouni,2002,1612.166667,1124.0,2047.0,345.2636191,21.41612441
41,Bougouni,2003,1946.833333,1637.0,2208.0,207.8801738,10.67786185
42,Bougouni,2004,1878.0,1737.0,2090.0,130.7302566,6.961142526
43,Bougouni,2005,2176.0,1835.0,2659.0,349.9411379,16.08185376
44,Bougouni,2006,2135.833333,1730.0,2758.0,366.7006499,17.16897308
45,Bougouni,2007,2086.833333,1974.0,2362.0,144.4706429,6.922960287
46,Bougouni,2008,1837.5,1660.0,2066.0,165.358701,8.99911298
47,Bougouni,2009,2135.666667,2033.0,2384.0,141.7584801,6.637668802
48,Bougouni,2010,2181.666667,2011.0,2298.0,110.2554609,5.053726246
49,Bougouni,2011,2057.333333,1918.0,2354.0,172.0275172,8.361674523
50,Bougouni,2012,2170.333333,2047.0,2366.0,127.971351,5.896391536
51,Bougouni,2013,2236.666667,2136.0,2395.0,94.90767444,4.243264133
52,Bougouni,2014,2507.166667,2280.0,2791.0,163.0968015,6.505223753
53,Bougouni,2015,2512.5,2320.0,2784.0,180.0985841,7.16810285
54,Bougouni,2016,2476.666667,2295.0,2585.0,108.5977286,4.384834266
55,Bougouni,2017,2343.605845,2220.0,2454.0,83.29587199,3.554175808
56,Bougouni,1990,1725.75,1643.0,1897.0,115.6355626,6.700597571
57,Bougouni,1991,1455.8,1406.0,1544.0,56.04640934,3.849870129
58,Bougouni,1992,1741.8,1305.0,2185.0,342.2845308,19.65119593
59,Bougouni,1993,1712.744186,1537.011494,1836.0,118.3212154,6.908283001
60,Bougouni,1994,1844.191422,1709.0,1940.0,94.6879855,5.134390302
61,Bougouni,1995,1819.426017,1638.0,1989.089608,157.7775424,8.671830614
62,Bougouni,1996,1783.649353,1687.0,1849.0,55.59371608,3.116852311
63,Bougouni,1997,1904.978344,1690.89317,2262.012693,206.2575559,10.82729137
64,Bougouni,1998,1979.833333,1817.0,2195.0,165.3655547,8.352498762
65,Bougouni,1999,2111.526279,1642.10199,2778.0,385.1239351,18.23912584
66,Bougouni,2000,1792.5,1524.0,2011.0,235.2392399,13.12352803
67,Bougouni,2001,1983.0,1783.0,2200.0,169.5122414,8.548272388
68,Bougouni,2002,1612.166667,1124.0,2047.0,345.2636191,21.41612441
69,Bougouni,2003,1946.833333,1637.0,2208.0,207.8801738,10.67786185
70,Bougouni,2004,1878.0,1737.0,2090.0,130.7302566,6.961142526
71,Bougouni,2005,2176.0,1835.0,2659.0,349.9411379,16.08185376
72,Bougouni,2006,2135.833333,1730.0,2758.0,366.7006499,17.16897308
73,Bougouni,2007,2086.833333,1974.0,2362.0,144.4706429,6.922960287
74,Bougouni,2008,1837.5,1660.0,2066.0,165.358701,8.99911298
75,Bougouni,2009,2135.666667,2033.0,2384.0,141.7584801,6.637668802
76,Bougouni,2010,2181.666667,2011.0,2298.0,110.2554609,5.053726246
77,Bougouni,2011,2057.333333,1918.0,2354.0,172.0275172,8.361674523
78,Bougouni,2012,2170.333333,2047.0,2366.0,127.971351,5.896391536
79,Bougouni,2013,2236.666667,2136.0,2395.0,94.90767444,4.243264133
80,Bougouni,2014,2507.166667,2280.0,2791.0,163.0968015,6.505223753
81,Bougouni,2015,2512.5,2320.0,2784.0,180.0985841,7.16810285
82,Bougouni,2016,2476.666667,2295.0,2585.0,108.5977286,4.384834266
83,Bougouni,2017,2343.605845,2220.0,2454.0,83.29587199,3.554175808
84,Bougouni,1990,1725.75,1643.0,1897.0,115.6355626,6.700597571
85,Bougouni,1991,1455.8,1406.0,1544.0,56.04640934,3.849870129
86,Bougouni,1992,1741.8,1305.0,2185.0,342.2845308,19.65119593
87,Bougouni,1993,1712.744186,1537.011494,1836.0,118.3212154,6.908283001
88,Bougouni,1994,1844.191422,1709.0,1940.0,94.6879855,5.134390302
89,Bougouni,1995,1819.426017,1638.0,1989.089608,157.7775424,8.671830614
90,Bougouni,1996,1783.649353,1687.0,1849.0,55.59371608,3.116852311
91,Bougouni,1997,1904.978344,1690.89317,2262.012693,206.2575559,10.82729137
92,Bougouni,1998,1979.833333,1817.0,2195.0,165.3655547,8.352498762
93,Bougouni,1999,2111.526279,1642.10199,2778.0,385.1239351,18.23912584
94,Bougouni,2000,1792.5,1524.0,2011.0,235.2392399,13.12352803
95,Bougouni,2001,1983.0,1783.0,2200.0,169.5122414,8.548272388
96,Bougouni,2002,1612.166667,1124.0,2047.0,345.2636191,21.41612441
97,Bougouni,2003,1946.833333,1637.0,2208.0,207.8801738,10.67786185
98,Bougouni,2004,1878.0,1737.0,2090.0,130.7302566,6.961142526
99,Bougouni,2005,2176.0,1835.0,2659.0,349.9411379,16.08185376
100,Bougouni,2006,2135.833333,1730.0,2758.0,366.7006499,17.16897308
101,Bougouni,2007,2086.833333,1974.0,2362.0,144.4706429,6.922960287
102,Bougouni,2008,1837.5,1660.0,2066.0,165.358701,8.99911298
103,Bougouni,2009,2135.666667,2033.0,2384.0,141.7584801,6.637668802
104,Bougouni,2010,2181.666667,2011.0,2298.0,110.2554609,5.053726246
105,Bougouni,2011,2057.333333,1918.0,2354.0,172.0275172,8.361674523
106,Bougouni,2012,2170.333333,2047.0,2366.0,127.971351,5.896391536
107,Bougouni,2013,2236.666667,2136.0,2395.0,94.90767444,4.243264133
108,Bougouni,2014,2507.166667,2280.0,2791.0,163.0968015,6.505223753
109,Bougouni,2015,2512.5,2320.0,2784.0,180.0985841,7.16810285
110,Bougouni,2016,2476.666667,2295.0,2585.0,108.5977286,4.384834266
111,Bougouni,2017,2343.605845,2220.0,2454.0,83.29587199,3.554175808
112,Bougouni,1990,1725.75,1643.0,1897.0,115.6355626,6.700597571
