,year,cmdt_zone,cmdt_sector,adm3_pcode,crop_name,crop_season,production_mtha,planted_areas_ha,matyield.kg.ha
0,1990,Bougouni,Bougouni,ML030122,maize,rainy_season-June_October,7838.0,4652.0,1685.0
1,1991,Bougouni,Bougouni,ML030122,maize,rainy_season-June_October,5257.0,3738.0,1406.0
2,1992,Bougouni,Bougouni,ML030122,maize,rainy_season-June_October,8462.0,4584.0,1846.0
3,1993,Bougouni,Bougouni,ML030122,maize,rainy_season-June_October,8064.0,4392.0,1836.0
4,1994,Bougouni,Bougouni,ML030122,maize,rainy_season-June_October,9273.0,4779.0,1940.0
5,1995,Bougouni,Bougouni,ML030122,maize,rainy_season-June_October,8198.0,5005.0,1638.0
6,1996,Bougouni,Bougouni,ML030122,maize,rainy_season-June_October,9130.0,5143.0,1775.0
7,1997,Bougouni,Bougouni,ML030122,maize,rainy_season-June_October,13546.0,7402.0,1830.0
8,1998,Bougouni,Bougouni,ML030122,maize,rainy_season-June_October,16372.0,8409.0,1947.0
9,1999,Bougouni,Bougouni,ML030122,maize,rainy_season-June_October,23389.0,8064.0,2778.0
10,2000,Bougouni,Bougouni,ML030122,maize,rainy_season-June_October,,,2002.0
11,2001,Bougouni,Bougouni,ML030122,maize,rainy_season-June_October,,,1783.0
12,2002,Bougouni,Bougouni,ML030122,maize,rainy_season-June_October,,,2047.0
13,2003,Bougouni,Bougouni,ML030122,maize,rainy_season-June_October,,,2208.0
14,2004,Bougouni,Bougouni,ML030122,maize,rainy_season-June_October,,,1737.0
15,2005,Bougouni,Bougouni,ML030122,maize,rainy_season-June_October,,,2015.0
16,2006,Bougouni,Bougouni,ML030122,maize,rainy_season-June_October,,,1730.0
17,2007,Bougouni,Bougouni,ML030122,maize,rainy_season-June_October,,,1994.0
18,2008,Bougouni,Bougouni,ML030122,maize,rainy_season-June_October,,,1897.0
19,2009,Bougouni,Bougouni,ML030122,maize,rainy_season-June_October,,,2039.0
20,2010,Bougouni,Bougouni,ML030122,maize,rainy_season-June_October,,,2261.0
21,2011,Bougouni,Bougouni,ML030122,maize,rainy_season-June_October,,,1923.0
22,2012,Bougouni,Bougouni,ML030122,maize,rainy_season-June_October,,,2177.0
